Timestamp,Conference Title,Short Title,Date,Place,Organisation,Submission Deadline,Registration Deadline,Topics,Website,Editor,Taggs,Other:,Issue,Publication,
12/24/2011 9:35:03,Call for book chapters: Studies in Mining Social Networks and Security Informatics by Springer Verlag,,"Summer 2012 (publication Date, tentative)",-,,2011-01-11,,"Anomaly detection, Application of social network analysis and mining, Authorship analysis and identification for security informatics, Community discovery and analysis in large scale online and offline, social networks, Community discovery and analysis in social networks, Computational Criminology, Contextual social network analysis and mining, Crime data mining and network analysis, Criminal network visualization, Cybercrime/cyber terrorism and anaylsis, Dark Web, Detection of communities by document and text analysis, Detection of communities in the Web, Detection of patterns in the Web, Dynamics and evolution patterns of social networks, Graph algorithms for social network analysis, Graph matching, Graph Mining Techniques and Applications to Social Network Analysis, Group detection and discovery, Impact of social networks on recommendations systems, Social network construction, Link Analysis, prediction and Mining, Misuse detection in communities, Open source intelligence, Organized crime detection, Pattern Detection and Analysis, Political and economical impact of social network analysis, Preparing data for Web mining, Privacy issues in Security Informatics, Privacy issues in social networks, Recommendations for product purchase, and information acquisition, Scalability of social networks, Spatio-temporal analysis on social networks, Spatio-temporal data mining for crime analysis and security, informatics, Terrorism Informatics, Terrorist threats prediction, Visual representation of dynamic social networks, Web mining",http://www.easychair.org/conferences/?conf=snsi2012,Richard,"Societal Transitions, System Dynamics, Social Networks",SOCNET,236,Springer Verlag,
12/24/2011 10:20:00,"The 2012 International Workshop on Social Computing, Network, and Services",SocialComNet 2012,"June 26-28, 2012","Vancouver, Canada ",In Conjunction with FutureTech 2012,2012-01-15,,"Social Computing Theories , Data Mining and Machine Learning for Social Computing, Information Retrieval for Social Computing, Artificial Intelligence for Social Computing, Social Behavior Modeling, Social Intelligence and Cognition, Collaborative and Multi-Agent Systems for Social Computing, Information Diffusion in Social Networks, Peer-to-Peer System, Cloud computing for Social Computing, Grid, Cluster, and Internet Computing, Semantic Web Technologies and Their Applications for Social Network, Context-Awareness and Context Sharing, Search and Discovery Techniques for Social Network, RFID and Internet of Things, Human Computer Interactions, Smart Object, Space/Environment & System, Social Network and Smart-phone Services, Ubiquitous Sensing with Inputs from Social Sensors, Location Aware Services for Social Network, Social Computing and Entertainment, E-Learning, Edutainment, and Infotainment in Social Network, Social Computing for E-Commerce and E-Society, etc, Video Distribution (IPTV, VoD) in Social Network, Developing and Managing Web2.0 Services, Use of Social Networks for Marketing, Web Page Ranking Informed by Social Media, Collaborative Filtering, Social Recommender Systems, Social System Design and Architectures, Social Media Business Models, Social Computing Services and Case Studies, Privacy and Security Issues in Social Networks, Social and Ethical Issues of Networked World",http://www.ftrai.org/socialcomnet2012,Richard,"Spatial and Ecological-Economic issues, Market Dynamics, Policy Making, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, System Dynamics, Methods in General, Complex Systems, Social Networks",SOCNET,236,,
12/24/2011 11:15:52,6th Int. Workshop on Self-organizing Systems: Call for Posters & Student Research Competition,IWSOS 2012 ,"March 15-16, 2012 ","Delft, The Netherlands ",,2012-01-23,,"Design and analysis of self-organizing and self-managing systems, Inspiring models of self-organization in nature and society, Structure, characteristics and dynamics of self-organizing networks, Evolutionary principles of the (future, emerging) Internet, Techniques and tools for modeling self-organizing systems, Robustness and adaptation in self-organizing systems, Self-organization in complex networks like peer-to-peer, sensor,, ad-hoc, vehicular and social networks, User and operator-related aspects of man-made self-organizing systems, Self-organizing multi-service networks and multi-network services, Control of self-organizing systems, Methods for configuration and management of large, complex networks, Decentralized power management in the smart grid, Self-protection, self-configuration, diagnosis, and healing, Self-organizing group and pattern formation, Self-organizing mechanisms for task allocation, coordination and, resource allocation, Self-organizing information dissemination and content search, Security and safety in self-organizing networked systems, Risks and limits of self-organization, The human in the loop of self-organizing networks",http://iwsos2012.ewi.tudelft.nl/,Richard,"Social Conflict and Social Simulation, Agent-Based Modelling, Methods in General, Complex Systems, Social Networks",agents,236,,
12/24/2011 11:57:55,"Symposium Group on Social/Collective Systems, Networks and Phenomena at AISB/IACAP World Congress 2012 in honour of Alan Turing",,"July 2nd to 6th, 2012","University of Birmingham, Birmingham, UK",ociety for the Study of Artificial Intelligence nd Simulation of Behaviour (AISB) and International Association for Computing and Philosophy (IACAP),2012-02-01,,"Symposium Group on Social/Collective Systems, Networks and Phenomena:
- Social Computing
- Social Cognition
- Social Networks and Multiagent Systems
- Understanding and Modelling Collective Phenomena (UMoCoP)
",http://www.aisb.org.uk/convention/aisb12/,Richard,"Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, Methods in General, Social Networks",AISB,236,,
12/24/2011 10:06:34,Social Network Big Data Hackathon @ Sunbelt,,"March 13-14, 2012","Redondo Beach, CA",SOCNET,1/15/2012,2012-01-15,"""Manual collection of social network data is so XXth century! New sources of social network data such as Twitter, Facebook, OpenCongress, CrunchBase, and many others, present data at the scale up to 100s of millions of nodes and billions of edges, with millions of nodes and edges added every hour. In this environment, traditional SNA algorithms and metrics falter due to their high computational complexity and difficulty of parallelization. Big Data approaches such as Map/Reduce, Hive, Pig and Storm, distributed data storage solutions of Hadoop, Redis and MongoDB hold a promise that SNA algorithms can be made to work over web-scale data — but much work is required to make this happen. We are soliciting papers, demos and tutorials on:
- Software — open-source or academic-license tools
- Big Social Data problems, solutions and war stories
- Data warehousing, data manipulation, data wrangling and wrestling
- Streaming graph analysis, real-time data analysis, dynamic network analysis
- Real-world applications
- … any topic relevant to analysis of big, real-time, social network and social stream data

Part 1 of the workshop shall be devoted to practical aspects of dealing with big data — perhaps more of a tutorial to get everyone up to speed. We’ll select practical papers for this section.
Part 2 will be in a Hackathon format — we will start by setting up a distributed, real-time cloud computing “playground”, turn on a fast and high-volume data stream, and, at the end of the workshop, leave with meaningful adaptations of SNA metrics and algorithms to real-time, high-volume data. We will encourage formation of impromptu teams and collaborations, especially joint work involving academics and industry.
Part 3 — The Red-Eye session — will be devoted to presentations of the hackathon participants and academic and industry “war stories”.
Hackathon attendees are expected to be proficient programmers in languages of their choice, and bring high-performance laptops to the workshop. They’ll need all the computing horsepower they can get. We’ll also provide generic Amazon EC2 instances for cloud computing
- Please submit abstracts (300-500 words) to maksim@tsvetovat.org
- For software demos, please include a URL to your site or documentation repository or GitHub (Google Code, etc) open-source repository.",http://sna-hackathon.tumblr.com/,Richard,Social Networks,,236,,
12/24/2011 11:00:45,AAMAS 2012 Doctoral Mentoring Program ,AAMAS 2012,04th- 08th June 2012,"Valencia, Spain",,2012-01-31,,"AAMAS 2012 will include a doctoral mentoring program, intended for PhD students in advanced stages of their research. This program will provide an opportunity for students to interact closely with established researchers in their fields, to receive feedback on their work and to get advice on managing their careers.
We encourage submissions from PhD students at advanced stages of their research within the Autonomous Agents and Multi Agent Systems field. Based on the submissions, the organizing committee will select a group of students that will be invited to participate in the program. Participants will be expected to take active part in all doctoral mentoring program activities.
We expect that financial support will be made available to some consortium participants based on the quality of the proposal, distance to travel, and level of participation.",http://aamas2012.webs.upv.es/index.php?option=com_content&view=article&id=9&Itemid=9,Richard,"Agent-Based Modelling, Methods in General, Complex Systems",-,236,,
1/6/2012 10:28:49,Workshops @ 15th International Conference on Principles and Practice of Multi-Agent Systems,PRIMA 2012,"September 3rd and 4th, 2012","Kuching, Sarawak, Malaysia",,2012-01-31,,"Agent-based system development; Agent communication; Agent-based Simulation (Emergent behaviour, Simulation-specific issues, Single and Multi-agent Learning, Computational architectures for learning and adaptation); Agent Reasoning; Interface Agents; Agent societies and social networks; Agent Theories, Models and Architectures; Agent Technologies for Service Computing; Agent Cooperation and Negotiation; Agent Systems; Real-world Robotics; WWW and Semantic Web Agents; Other Related Areas",http://www.openabm.org/event/prima-2012-call-workshop-proposals,Sascha,Agent-Based Modelling,,237,Joint post-proceedings of PRIMA-2012 and PRICAI-2012 workshops as an LNAI volume,
1/6/2012 11:31:26,Agent-Directed Simulation Symposium,ADS'12,"March 26-29, 2012 ","Orlando, FL, USA ",The Society for Modeling and Simulation International (SCS),2012-01-31,,"Through the theme of agent-directed simulation, the symposium will bring together agent technologies, tools, toolkits, platforms, languages, methodologies, and applications in a pragmatic manner. In this symposium, established researchers, educators, and students are encouraged to come together and discuss the benefits of agent technology in their use and application for simulation. It is a way for people to discuss why and how they have used agent technology in their simulations, and describe the benefit of having done so. ", http://www.scs.org/springsim/2012?q=node/205 ,Sascha,Agent-Based Modelling,,237,,
1/6/2012 11:41:05,The Thirteenth International Workshop on Multi-Agent-Based Simulation @ AAMAS2012,MABS’12,4th-8th June 2012,"Valencia, Spain",,2012-02-28,,"Simulation methodologies
- standards for MABS
- methodologies and simulation languages for MABS
- simulation platforms and tools for MABS
- Organizational and analytic tools
- approaches for large-scale simulations
- scalability and robustness in MABS
- future challenges in MABS
Simulation of social and economic organizations
- formal and agent models of social organizations
- cognitive organizations and social simulation
- game theory and simulation
- social structure: social networks and simulating organizations
- simulating social complexity (e.g. structures and norms, social order, emergence of cooperation and coordinated action, self-organisation, the micro-macro link)
Applications / Empirical work
- MABS in environmental organizations
- MABS and cloud computing
- agent-based experimental economics
- participative-based simulation
- MABS and games",http://www.irit.fr/mabs2012,Sascha,"Agent-Based Modelling, Methods in General, Game Theory",,237,,
1/6/2012 11:41:05,"FINAL CALL for Practitioner Reports, Work-in-Progress Papers & Special Session Submissions",ISCRAM2012,22-25 April 2012,"Vancouver, Canada",,2012-01-15,,"Tracks & Special Sessions:
- Modelling and Simulation
- Human Experiences in the Design of Crisis Response and Management Services and Systems
- Command and Control Studies
- Education and Training
- Planning, Foresight and/or Risk Analysis
- Social Media and Collaborative Systems
- Geographic Information Science and Technology (GIS&T) for Crisis Response and Management
- Research Methods
- Healthcare Crisis Management Systems
- Humanitarian Challenges
- Decision Support Methods for Complex Crises
- Wireless Connectivity Management
- Inter-Organizational Exercises and Operations
- Intelligent Systems
- Event-Driven Techniques and Methods for Crisis Management
- Wireless Sensor Networks for Emergency Response
- Early Warning and Expert Systems for Disaster Management
- Serious Games for Crisis Management
- Open Track",www.iscram.org/iscram2012,Sascha,Market Dynamics,,237,,
1/6/2012 11:49:14, Logical Aspects of Multi-Agent Systems 2012,LAMAS 2012,"June 4 or 5, 2012","Valencia, Spain",Satellite workshop of AAMAS 2012,"2012-03-10 (paper, firm deadline, no extensions) ",,"LAMAS is a scientific network spanning an interdisciplinary community of researchers working on logical aspects of MAS from the perspectives of logic, artificial intelligence, computer science, game theory, etc. The LAMAS workshop is the pivotal event of the network and it provides a platform for presentation, exchange, and publication of ideas in all these areas, including:
- Logical systems for specification, analysis, and reasoning about MAS
- Modeling MAS with logic-based models
- Deductive systems and decision procedures for logics for MAS
- Development, complexity analysis, and implementation of algorithmic methods for formal verification of MAS
- Logic-based tools for MAS
- Applications of logics in MAS ",http://icr.uni.lu/lamas2012/,Richard,"Agent-Based Modelling, Methods in General, Complex Systems",agents-request,237,"All the accepted papers will appear in the informal workshop proceedings produced together with the AAMAS proceedings. Furthermore, post-proceedings of LAMAS’2012 are envisaged (as a journal special issue or a Springer LNCS/FoLLI sub-series volume) if the amount of quality submissions is sufficient. ",
1/6/2012 11:53:57,The 3rd International Workshop on Multi-Agent Systems and Collaborative Technologies,I-MASC 2012,"May 21 - 25, 2012","The Westin Westminster Hotel, Denver, Colorado, USA",As part of the 2012 International Conference on Collaboration Technologies and Systems (CTS 2012) http://cts2012.cisedu.info/ ,2012-01-16,,"MAS: Coordination of and by Computational Agents, Agent Communication, Languages and Protocols, Agent Models and Architectures, Multi-Agent Coordination and Cooperation, Human-Agent Interaction, Multi-User/Multi-Agent Interaction, Teamwork, Coalition Formation, Coordination, Peer to Peer Coordination, Modeling the Dynamics of MAS, Agent-based System Development, Collective Decision Making, Bargaining and Negotiation, Auction and Mechanism Design, Cooperative and Non-Cooperative Agents, Complex MAS, Virtual Agents Applications, Conversational Agents, Distributed Task Planning and Execution, Cooperation with Humans and Robots, Collective Intelligence, Agent Reasoning, Mining Agents, Security Agents
CTS:  Agent Technologies and Systems Supporting Collaboration Among Humans, Architectures and Design of Collaborative Systems, Frameworks and Methodologies for Collaboration, Cognitive and Psychological Issues in Collaboration, Collaborative Human-Centered Systems, Cultural Aspects & Human Factors in Collaboration, Interfaces for Collaborative Work, Social Software Based Collaboration, Visualization of Collaborative Processes, Web Infrastructure for Collaborative Applications, Information Infrastructure for Collaboration, Management of Metadata for Collaboration, Mobile and Wireless Collaboration Systems, Modeling and Simulation of Collaboration, Platforms for Collaboration, Collaboration in Domain Applications
Important: A submitted paper must have keywords from BOTH lists of MAS and CTS!",http://cisedu.us/rp/cts12/2-conference/workshops/workshop-06-imasc,Richard,"Spatial and Ecological-Economic issues, Market Dynamics, Policy Making, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, System Dynamics, Methods in General, Game Theory, Complex Systems, Social Networks",agents-request,237,Accepted papers will be published in the Conference proceedings. Instructions for final manuscript format and requirements will be posted on the CTS 2012 Conference web site.  It is our intent to have the proceedings formally published in hard and soft copies and be available at the time of the conference.  The proceedings is projected to be included in the IEEE Digital Library and indexed accordingly. ,
1/6/2012 12:00:20,European Meeting of the International Microsimulation Association,,"May, 17-19 2012","Dublin, Ireland",,2012-02-03 (abstract),,"The conference is open to all areas of microsimulation. In addition, within the conference, there will be specific workshops focusing on : 
- Labour Supply (IZA)
- Spatial Microsimulation (NIRSA)
- Farm and Rural Modelling (Teagasc)
- Child Outcomes (UNICEF)
- Dynamic Microsimulation (EuroDym)
Abstracts of about 250 words are invited. They should be sent to Ursula.Colohan@teagasc.ie. If you have queries about the conference, please contact Cathal O'Donoghue at Cathal.odonoghue@teagasc.ie ",,Sascha,Methods in General,,237,,
1/6/2012 12:16:26,Call for Paper: 4th World Congress on Social Simulation,WCSS 2012,"September 4-7, 2012","Taipei, Taiwan","PAAA, ESSA, CSSS ","2012-04-01 (special sessions, workshops, and tutorials)",,"Tools and methods:
- Programming computational frameworks
- Simulation experiment software
- Role playing games and social simulation
- Social Simulation and Laboratory Experiments
- Socially inspired software applications (peer-to-peer, distributed trust etc.)
- Model replication and validation
- Advanced computing technologies (e.g. the grid) and social simulation
Theory:
- Social Processes of Science
- Methods, Algorithms, and Data
Applications of Agent-based Modeling:
- Social Norms
- Social Complexity
- Policy issues
- Emergence of social structures and norms
- Trust and norm dynamics, reputation
- Social conflict and cooperation
- Market dynamics and consumer behaviour
- Integrated social/physical modeling for environmental policy
- Resource management and environmental practices
- Social networks and their dynamics
- Information and opinion dynamics
- Computational Organization Theory
- Group decisions and collective behaviors
- Emergence and evolution of institutions
- Innovation diffusion
- Societal transitions
- Industry and economy issues",http://www.aiecon.org/conference/wcss2012/,Sascha,"Spatial and Ecological-Economic issues, Market Dynamics, Policy Making, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, System Dynamics, Methods in General, Game Theory, Complex Systems, Social Networks",,237,,
1/19/2012 17:45:44,7th Workshop on Agents in Traffic and Transportation @AAMAS 2012,ATT2012,4 or 5 June 2012,"Valencia, Spain",-,2012-02-28,,"Relevant topics include (but are not limited to):
- applications of multiagent technology in traffic, transportation, and transport logistics
- coordination in multiagent transportation systems
- agent-based traffic control
- distributed decision making in traffic, transportation and transport logistics
- multi-agent systems for intelligent vehicles
- mobile devices and agents in transportation systems
- intelligent monitoring of transportation systems using agents
- data collection, filtering and distribution of traffic information
- autonomous vehicles and collaborative driving
- cognitive approaches to modeling traffic participants
- machine learning approaches to transportation systems
- agent-based approaches to modelling driver behaviour
- agent-based simulation of traffic and transportation systems
- agent-based pedestrian and crowd simulation
- future technologies: opportunities for multiagent systems
- vehicle2vehicle communication and multiagent systems
- requirements and issues involved in electromobility",http://www.ia.urjc.es/att2012 ,Sascha,"Spatial and Ecological-Economic issues, Agent-Based Modelling",,238,,
1/19/2012 13:11:21,11th International Conference on Autonomous Agents and Multiagent Systems: Call for Demonstrations,AAMAS 2012,"June 4–8, 2012","Valencia, Spain",,2012-01-24 (EXTENDED),,"At least one author of accepted DEMOs will be expected to present a poster and
live demonstration at the conference in Valencia.
Examples of demos include but are not limited to:
- Robotic systems (single- and multi-agent)
- Interactive agent-based software systems
- Agent-based simulation environments
- Personal robotics
- Innovative applications of agent-based systems or prototypes (e.g., industrial, military, educational)
- Agent-based games
- Agent platforms and development environments
- Open-source software tools for agent-based system development
- Human-robot interactive systems
- Virtual agents and interactive virtual environments",http://swarmlab.unimaas.nl/aamas2012_demos/,Sascha,"Reputation, ABM methodical, ABM technical, Complex Systems",,238,,
1/19/2012 18:00:36,Adaptive and Learning Agents Workshop 2012 @ AAMAS 2012,ALA 2012,6/4/2012,"Valencia, Spain",,2012-02-28,,"- Novel combinations of reinforcement and supervised learning approaches
- Integrated learning approaches that work with other agent reasoning modules like negotiation, trust models, coordination, etc.
- Supervised multi-agent learning
- Reinforcement learning (single and multi-agent)
- Planning (single and multi-agent)
- Reasoning (single and multi-agent)
- Distributed learning
- Adaptation and learning in dynamic environments
- Evolution of agents in complex environments
- Co-evolution of agents in a multi-agent setting
- Cooperative exploration and learning to cooperate and collaborate
- Learning trust and reputation
- Communication restrictions and their impact on multi-agent coordination
- Design of reward structure and fitness measures for coordination
- Scaling learning techniques to large systems of learning and adaptive agents
- Emergent behaviour in adaptive multi-agent systems
- Game theoretical analysis of adaptive multi-agent systems
- Neuro-control in multi-agent systems
- Bio-inspired multi-agent systems
- Applications of adaptive and learning agents and multi-agent systems to real world complex systems
- Learning of Co-ordination",http://como.vub.ac.be/ALA2012/,Sascha,"Societal Transitions, Agent-Based Modelling",,238,Knowledge Engineering Review,
1/19/2012 18:35:38,Workshop on Modeling and Simulation on Grid and Cloud Computing,MSGC2012,May 13-16 2012,"Ottawa, ON, Canada",,2012-02-15,,"- Web Services, SOA and simulation
- Simulation Middleware
- Simulation Mashups using Grid and Cloud Computing
- Wokflows for distributed simulation on the grid  - Service Composition and Simulation
- Composability and mashups using distributed simulation middleware on the grid
- Simulation Data Management in Cloud Computing Environments
- Interfacing Simulation with Web 2.0 Technologies
- Grid and Cloud Simulation Tools and Environments",http://www.sce.carleton.ca/faculty/wainer/MSGC2012,Sascha,"Agent-Based Modelling, Methods in General",,238,,
1/20/2012 11:54:05,Evolutionary Computation and Multi-Agent Systems/Simulation Workshop,ECoMASS 2012,"July 7-11, 2012","Philadelphia, PA, USA","Organized by ACM SIGEVO, to be held as part of the 2012 Genetic and Evolutionary Computation Conference (GECCO-2012)","2012-03-28 (full paper, 8 pages)",,"- Multi-agent systems and agent-based models utilizing evolutionary computation
- Optimization of multi-agent systems and agent-based models using evolutionary computation
- Evolutionary computation models which rely not on explicit fitness functions but rather implicit fitness functions defined by the relationship to other individuals / agents
- Applications utilizing MASS and EC in combination
- Biological agent-based models (usually called individual-based models) involving evolution
- Evolution of cooperation and altruism
- Genotypic representation of the complex phenotypic strategies of MASS
- Evolutionary learning within MASS (including Baldwinian learning and phenotypic plasticity)
- Emergence and feedbacks
- Open-ended strategy spaces and evolution
- Adaptive individuals within evolving populations",http://www.cscs.umich.edu/ecomass/,Richard,"Policy Making, Social Conflict and Social Simulation, Agent-Based Modelling, System Dynamics, Methods in General, Complex Systems",repast-interest,238,,
1/20/2012 12:23:19,17th Annual Workshop on Economic Heterogeneous Interacting Agents,W.E.H.I.A. 2012,"June 21-23, 2012","Paris, France","University of Pantheon-Assas, Paris II",2012-02-29,,"- Agent Based Models
- Emergent Macroeconomics
- Econophysics
- Experimental Economics
- Aggregation of Heterogeneous agents
- Financial Fragility Models
- DSGE Models with Heterogeneous Agents
- Bounded Rationality
- Interacting Particle Systems and Economics
- Percolation Theory and Economics
- Learning in Economics
- Evolutionary Game Theory
- Computational Methods in Economics and Finance
- Market Structure and its Emergence
- Spatial agent models and urban complex adaptive systems
- Economic Development, Technological Change and Growth
- Socio-economic Networks",http://ermes.u-paris2.fr/Wehia_2012/home.html,Sascha,"Spatial and Ecological-Economic issues, Market Dynamics, Agent-Based Modelling, Game Theory",,238,,
1/20/2012 12:27:35,"First International Conference Social Computing: Fundamentals, Development Technologies, Social and Humanities Effects",IISC-12,"June 14 – 16, 2012","Moscow, Russia",Sholokhov Moscow State University for the Humanities,2012-05-07 (abstract),,"- Fundamentals of social computing
- Social computing and new technological platform for social interaction
- Social groups and societies in the network: research methodology
- Simulation of social behavior
- Change of government and politics under the influence of social computing
- Social computing as the basis of the Internet Economy
- Psychological effects of social computing
- Social computing and education",http://www.policy-community.eu/,Sascha,"Policy Making, Social Conflict and Social Simulation, Societal Transitions, Social Networks",,238,,
1/20/2012 12:40:00,3rd IEEE Track on Collaborative Modeling and Simulation,Comets 2012,"June 25-27, 2012","Toulouse, France",,2012-03-16,,"- collaborative environments for M&S
- collaborative Systems of Systems M&S
- workflow modelling for collaborative environments and processes
- agent-based M&S
- collaborative distributed simulation
- collaborative component-based M&S
- net-centric M&S
- web-based M&S
- model sharing and reuse
- model building and evaluation
- modeling and simulation of business processes
- modeling for collaboration
- simulation-based performance evaluation of collaborative networks
- model-driven simulation engineering
- domain specific languages for the simulation of collaborative environments
- domain specific languages for collaborative M&S
- databases and repositories for M&S
- distributed virtual environments
- virtual research environment for M&S
- collaborative DEVS M&S",http://www.sel.uniroma2.it/comets12,Sascha,"Agent-Based Modelling, Methods in General",,238,,
1/20/2012 12:54:06,Call for proposals agent and multiagent system schools,,-,-, International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS),2012-02-28,,"The International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS) invites proposals for Agent and Multiagent System Schools from countries or regions that have been traditionally under-represented in the AAMAS conference (International Joint Conference on Autonomous Agents and Multiagent Systems).
The intent is to encourage further participation of researchers from such countries in AAMAS, and to foster research in the field of agent and multiagent systems. Attendees at such schools can be from academia (typically graduate students but also faculty looking to enter the field) or from industry and government.",www.aamas-conference.org,Richard,"Agent-Based Modelling, Methods in General",agents-request,238,,
1/20/2012 13:01:08,hird International Workshop on Agent Technologies for Energy Systems ,ATES 2012,4th/5th June 2012,"Valencia, Spain",To be held in conjunction with the Eleventh International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2012),2012-02-28,,"- Methodologies to predict and optimise of energy use within homes, buildings, organisations and micro-grids.
- Multi-agent simulation of energy markets, energy grids and consumers.
- Novel energy markets and trading strategies.
- Coalition formation strategies for coordinated energy use across multiple consumers, forming virtual power stations, and performing intelligent demand management.
- Agent/human interaction for energy preference elicitation and efficiency feedback.
- Agent-based software development for deploying distributed control across energy networks.",http://www.ates2012.org/,Richard,"Spatial and Ecological-Economic issues, Policy Making, Social Conflict and Social Simulation, Agent-Based Modelling, Methods in General",agents-request,238,,
1/21/2012 15:25:40,"ECMS 2012 Track on ""Social dynamics and collective behaviour""",ECMS 2012,2012-05-29,Koblenz,Flaminio Squazzoni (Chair),2012-02-16,,"This track aims to provide a forum for cutting-edge research on social system behaviour. A particular attention will be given to attempts to understand collective behaviour from agent interaction through agent-based models and advanced computer simulation techniques. These techniques are needed to look at agent interaction, which is one of the most crucial sources of non linearity, complexity and unpredictability of social systems. Studies that combine empirical data and modelling will be welcome.",http://www.scs-europe.net/conf/ecms2012/index.html,Richard,"Market Dynamics, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, Game Theory, Complex Systems, Social Networks","Flaminio Squazzoni, squazzon@eco.unibs.it",239,"Special issue in ""ACS-Advances in Complex Systems""",
2/2/2012 19:20:27,Third Summer School of the European Social Simulation Association (ESSA),,"July 2nd-6th, 2012","Toulouse, France",ESSA,2012-03-15,,"The Summer School is aimed at those who have a basic understanding of social simulation and are taking their first steps in agent-based modelling. The programme will consist of two lectures per day from experienced modellers, and one tutorial session led by experienced researchers where participants can acquire practice on agent-based simulation platform and social network analysis tools. Moreover several timeslots are planned in order to discuss about participants' projects and research questions.
By the end of the Summer School, students can expect to have absorbed a great deal of 'tacit' knowledge about how to go about model building, as well as having had opportunities to discuss their research with experts and peers.   The Summer School welcomes postgraduate students, post-doctoral researchers, and professionals.  ",http://www.irit.fr/essa-summer-school-2012/,Sascha,Agent-Based Modelling,,239,,
2/2/2012 19:55:28,"4th Automata, Theory and Applications Workshop",A-CSC’12,"July 16-19, 2012","Las Vegas, USA",,2012-03-15,,"Topics of interest include, but are not limited to:
- cellular automata (theoretical, systems modeling, other applications)
- finite automata
- formal language theory
- theoretical issues on automata theory
- parallel implementations",www.worldacademyofscience.org/worldcomp12/ws/conferences/csc12/cellular-automata-theory-and-applications,Sascha,Methods in General,,239,CSC conference proceedings,
2/2/2012 19:58:07,Virtual Worlds III,VW’2012,"3-5 July, 2012","Paris, France",,2012-02-16,,"Virtual World applications
- Video games and entertainment
- Educational, medical and business solutions
- Virtual economies
- Social and philosophical implications
- Virtual Worlds and Ecology
Virtual World technologies
- High performance and low latency solutions
Virtual and Augmented Reality
- “Avatarization”
- Human-machine interfaces
Virtual World fundamentals
- Artificial physics and chemistries
- Complex systems, emergence, self-organization
Artificial Life
- Artificial life and ecosystems
- Evolution, co-evolution and adaptation
- Collective intelligence, cooperation, communication
Artificial creatures
- Avatars
- Virtual creatures
- Intelligent agents
- Conversational agents",http://www.virtual-worlds.net/vw2012/,Sascha,Complex Systems,,239,,
2/2/2012 20:07:22,Simulation in Management Accounting and Management Conrol,EURO2012,8-11 July 2012,"Vilnius, Lithuania",,2012-02-29,,"This track explores theoretical as well as practical applications of simulation techniques to questions of management accounting and management control. Contributions are sought from both academics and practitioners. Topics of interest are (but not limited to)
- Adaptation of management control systems 
- Organizational learning in management control
- Diffusion of innovations in management accounting and management control
- Dynamics and emergence of control mechanisms in organizations
- Economic interaction and management control
- Effectivity of decision-making methods in complex and turbulent environments
- Information quality in management accounting and management control 
- Decision-influencing information in complex and turbulent environments
- Interrelations of design elements in performance management systems 
- Dynamics in budgeting 
- Aggregation and management of risks in complex environments",http://www.euro-2012.lt/welcome ,Sascha,Market Dynamics,,239,,
2/3/2012 10:49:48,8th International Symposium on Wikis and Open Collaboration,WikiSym 2012,"August 27-29, 2012","Linz, Austria",,"2012-04-07 (Research Papers, Panels, Workshops and Experience Reports)",,"Topics appropriate for submissions include all aspects of the people, tools, contexts, and content that comprise open collaboration systems:

- Collaboration tools and processes
- Social and cultural aspects of collaboration
- Collaboration beyond text: images, video, sound, etc.
- Communities and workgroups
- Knowledge and information production
- New media literacies

Uses and impact of wikis and other open resources, tools, and practices in fields and application areas, for example:

- Open source software development and use
- Education and Open Educational Resources
- E-government, open government, and public policy
- Law/Intellectual Property (including Creative Commons)
- Journalism (including participatory journalism)
- Art and Entertainment (including collaborative and audience-involved art)
- Science (including collaboratories)
- Publishing (including open access and open review models)
- Business (including open and collaborative management styles)",http://www.wikisym.org/2012/01/17/wikisym-2012-call-for-participation/,Richard,"Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, Methods in General, Complex Systems, Social Networks",SOCNET,OFFTOPIC,"Work submitted to Wikisym is published in the ACM digital library. This means it is not open access.  However, ACM has a very new service called ACM Author-izer which allows authors to post official copies of their papers on personal websites for people to access, even if those people do not have access to the ACM digital library.  We see this as a step to open access and are pleased to support this service.",
